iteration,latency_ns,latency_ms,precision,threads,scope
332,18604487,18.6045,double_intermediate,1,plan+SOCS+FI+output_formation
333,18841029,18.841,double_intermediate,1,plan+SOCS+FI+output_formation
334,15498353,15.4984,double_intermediate,1,plan+SOCS+FI+output_formation
335,15629842,15.6298,double_intermediate,1,plan+SOCS+FI+output_formation
336,15556878,15.5569,double_intermediate,1,plan+SOCS+FI+output_formation
337,15589932,15.5899,double_intermediate,1,plan+SOCS+FI+output_formation
338,15575384,15.5754,double_intermediate,1,plan+SOCS+FI+output_formation
339,15530272,15.5303,double_intermediate,1,plan+SOCS+FI+output_formation
340,15508305,15.5083,double_intermediate,1,plan+SOCS+FI+output_formation
341,15501146,15.5011,double_intermediate,1,plan+SOCS+FI+output_formation
342,15556366,15.5564,double_intermediate,1,plan+SOCS+FI+output_formation
343,15744669,15.7447,double_intermediate,1,plan+SOCS+FI+output_formation
344,15561695,15.5617,double_intermediate,1,plan+SOCS+FI+output_formation
345,15571239,15.5712,double_intermediate,1,plan+SOCS+FI+output_formation
346,15508313,15.5083,double_intermediate,1,plan+SOCS+FI+output_formation
347,15707857,15.7079,double_intermediate,1,plan+SOCS+FI+output_formation
348,15595673,15.5957,double_intermediate,1,plan+SOCS+FI+output_formation
349,15529835,15.5298,double_intermediate,1,plan+SOCS+FI+output_formation
350,15533052,15.5331,double_intermediate,1,plan+SOCS+FI+output_formation
351,15553150,15.5532,double_intermediate,1,plan+SOCS+FI+output_formation
352,15512840,15.5128,double_intermediate,1,plan+SOCS+FI+output_formation
353,15496346,15.4963,double_intermediate,1,plan+SOCS+FI+output_formation
354,15557789,15.5578,double_intermediate,1,plan+SOCS+FI+output_formation
355,15528783,15.5288,double_intermediate,1,plan+SOCS+FI+output_formation
356,15495773,15.4958,double_intermediate,1,plan+SOCS+FI+output_formation
357,15553245,15.5532,double_intermediate,1,plan+SOCS+FI+output_formation
358,15503526,15.5035,double_intermediate,1,plan+SOCS+FI+output_formation
359,15449712,15.4497,double_intermediate,1,plan+SOCS+FI+output_formation
360,15536461,15.5365,double_intermediate,1,plan+SOCS+FI+output_formation
361,15494291,15.4943,double_intermediate,1,plan+SOCS+FI+output_formation
362,15545091,15.5451,double_intermediate,1,plan+SOCS+FI+output_formation
363,15460683,15.4607,double_intermediate,1,plan+SOCS+FI+output_formation
364,15559207,15.5592,double_intermediate,1,plan+SOCS+FI+output_formation
365,21092018,21.092,double_intermediate,1,plan+SOCS+FI+output_formation
366,20764308,20.7643,double_intermediate,1,plan+SOCS+FI+output_formation
367,21416875,21.4169,double_intermediate,1,plan+SOCS+FI+output_formation
368,21506736,21.5067,double_intermediate,1,plan+SOCS+FI+output_formation
369,21683177,21.6832,double_intermediate,1,plan+SOCS+FI+output_formation
370,22783221,22.7832,double_intermediate,1,plan+SOCS+FI+output_formation
371,18720224,18.7202,double_intermediate,1,plan+SOCS+FI+output_formation
372,17138827,17.1388,double_intermediate,1,plan+SOCS+FI+output_formation
373,17086908,17.0869,double_intermediate,1,plan+SOCS+FI+output_formation
374,17181998,17.182,double_intermediate,1,plan+SOCS+FI+output_formation
375,18277332,18.2773,double_intermediate,1,plan+SOCS+FI+output_formation
376,16557480,16.5575,double_intermediate,1,plan+SOCS+FI+output_formation
377,15620425,15.6204,double_intermediate,1,plan+SOCS+FI+output_formation
378,15586824,15.5868,double_intermediate,1,plan+SOCS+FI+output_formation
379,15531502,15.5315,double_intermediate,1,plan+SOCS+FI+output_formation
380,15714576,15.7146,double_intermediate,1,plan+SOCS+FI+output_formation
381,15572369,15.5724,double_intermediate,1,plan+SOCS+FI+output_formation
382,15679847,15.6798,double_intermediate,1,plan+SOCS+FI+output_formation
383,15607874,15.6079,double_intermediate,1,plan+SOCS+FI+output_formation
384,15607960,15.608,double_intermediate,1,plan+SOCS+FI+output_formation
